venta_id,producto_id,cantidad,precio_unitario_eur,precio_total_eur,tienda
590,54,3,66.24,198.72,Tienda3
220,249,1,112.56,112.56,Tienda1
298,54,1,66.24,66.24,Tienda4
713,44,3,110.0,330.0,Tienda2
594,13,3,58.14,174.42,Tienda3
141,234,2,21.78,43.56,Tienda1
450,209,1,113.25,113.25,Tienda3
403,126,2,65.39,130.78,Tienda3
512,135,3,56.13,168.39,Tienda4
709,9,2,108.22,216.44,Tienda4
640,232,3,96.15,288.45,Tienda2
396,29,1,55.28,55.28,Tienda1
547,211,3,58.63,175.89,Tienda5
481,5,1,16.67,16.67,Tienda4
536,26,3,114.88,344.64,Tienda4
716,9,2,108.22,216.44,Tienda3
793,107,2,39.53,79.06,Tienda2
754,231,3,59.23,177.69,Tienda4
420,240,1,24.43,24.43,Tienda2
238,105,1,68.99,68.99,Tienda5
660,58,3,10.68,32.04,Tienda4
32,238,2,64.61,129.22,Tienda2
67,26,3,114.88,344.64,Tienda4
17,192,2,71.05,142.1,Tienda5
565,165,2,81.34,162.68,Tienda5
13,29,1,55.28,55.28,Tienda5
462,196,2,117.49,234.98,Tienda1
585,35,1,44.7,44.7,Tienda4
497,69,3,12.14,36.42,Tienda4
793,20,1,15.88,15.88,Tienda2
292,212,2,51.77,103.54,Tienda1
731,21,1,93.95,93.95,Tienda2
636,161,2,23.94,47.88,Tienda4
698,80,3,96.65,289.95,Tienda1
688,74,2,55.56,111.12,Tienda2
73,211,3,58.63,175.89,Tienda5
394,20,2,15.88,31.76,Tienda3
643,45,3,25.28,75.84,Tienda1
43,117,3,59.38,178.14,Tienda2
753,129,2,31.71,63.42,Tienda4
287,236,1,38.35,38.35,Tienda3
563,185,1,20.57,20.57,Tienda1
166,164,1,112.93,112.93,Tienda2
337,50,3,118.46,355.38,Tienda3
115,38,2,45.07,90.14,Tienda3
388,173,1,72.14,72.14,Tienda3
368,71,1,108.2,108.2,Tienda5
559,176,1,58.91,58.91,Tienda1
544,1,3,91.77,275.31,Tienda5
278,126,1,65.39,65.39,Tienda5
7,159,1,88.74,88.74,Tienda4
562,109,2,62.31,124.62,Tienda5
347,23,2,48.31,96.62,Tienda4
416,71,1,108.2,108.2,Tienda3
682,60,2,66.98,133.96,Tienda5
4,159,1,88.74,88.74,Tienda3
745,31,2,101.26,202.52,Tienda4
243,25,2,112.44,224.88,Tienda2
421,30,3,28.96,86.88,Tienda1
187,9,1,108.22,108.22,Tienda2
259,212,2,51.77,103.54,Tienda1
663,63,3,27.49,82.47,Tienda4
798,139,1,11.01,11.01,Tienda4
4,141,1,110.91,110.91,Tienda3
257,120,2,27.97,55.94,Tienda1
272,7,2,32.14,64.28,Tienda3
314,19,1,108.61,108.61,Tienda4
348,14,3,79.25,237.75,Tienda2
480,47,1,117.4,117.4,Tienda3
160,60,3,66.98,200.94,Tienda2
728,221,1,83.93,83.93,Tienda3
474,80,3,96.65,289.95,Tienda2
720,209,3,113.25,339.75,Tienda3
785,156,2,114.69,229.38,Tienda1
730,210,1,61.31,61.31,Tienda4
665,74,2,55.56,111.12,Tienda4
187,212,1,51.77,51.77,Tienda2
231,241,3,100.84,302.52,Tienda1
589,218,2,70.07,140.14,Tienda4
308,215,2,28.69,57.38,Tienda2
602,118,1,21.15,21.15,Tienda1
758,18,3,47.85,143.55,Tienda5
721,63,3,27.49,82.47,Tienda2
769,170,3,108.27,324.81,Tienda3
244,45,2,25.28,50.56,Tienda2
66,239,2,85.4,170.8,Tienda1
547,194,2,20.61,41.22,Tienda5
730,202,1,90.56,90.56,Tienda4
774,138,2,24.81,49.62,Tienda5
398,72,3,31.85,95.55,Tienda3
311,140,2,73.9,147.8,Tienda2
632,224,1,89.91,89.91,Tienda1
82,63,1,27.49,27.49,Tienda5
238,205,2,101.39,202.78,Tienda5
236,53,1,50.47,50.47,Tienda5
680,130,3,118.19,354.57,Tienda1
87,246,1,80.83,80.83,Tienda1
157,53,2,50.47,100.94,Tienda1
512,130,3,118.19,354.57,Tienda4
583,142,2,118.79,237.58,Tienda5
222,12,1,69.74,69.74,Tienda2
354,36,1,110.96,110.96,Tienda4
364,14,1,79.25,79.25,Tienda5
96,48,3,16.66,49.98,Tienda1
209,120,1,27.97,27.97,Tienda3
490,71,1,108.2,108.2,Tienda2
663,193,2,18.33,36.66,Tienda4
721,3,1,104.2,104.2,Tienda2
471,12,2,69.74,139.48,Tienda2
334,47,3,117.4,352.2,Tienda1
736,189,2,23.77,47.54,Tienda2
622,48,3,16.66,49.98,Tienda5
213,97,3,95.53,286.59,Tienda3
307,23,3,48.31,144.93,Tienda2
344,240,2,24.43,48.86,Tienda2
338,111,1,55.85,55.85,Tienda4
773,182,2,78.65,157.3,Tienda2
468,189,3,23.77,71.31,Tienda4
164,216,2,93.02,186.04,Tienda4
162,244,3,117.1,351.3,Tienda4
253,234,3,21.78,65.34,Tienda5
631,212,1,51.77,51.77,Tienda4
435,236,3,38.35,115.05,Tienda1
