producto_id,nombre_producto,categoria,precio_eur,unidades_stock
1,Jersey gris manga corta,Ropa,91.77,69
2,Camiseta azul entallado,Ropa,64.14,11
3,Jersey amarillo sin mangas,Ropa,104.2,15
4,Chaqueta gris sin mangas,Ropa,66.05,65
5,Jersey gris oversize,Ropa,16.67,21
6,Falda blanco entallado,Ropa,11.0,31
7,Abrigo beige manga corta,Ropa,32.14,51
8,Falda amarillo oversize,Ropa,55.66,21
9,Top blanco entallado,Ropa,108.22,26
10,Pantalón beige oversize,Ropa,67.7,21
11,Jersey negro manga corta,Ropa,19.24,76
12,Camisa azul entallado,Ropa,69.74,30
13,Jersey amarillo manga larga,Ropa,58.14,93
14,Top azul manga corta,Ropa,79.25,69
15,Pantalón gris oversize,Ropa,117.3,36
16,Abrigo beige manga corta,Ropa,39.9,26
17,Falda gris manga larga,Ropa,92.89,41
18,Chaqueta verde oversize,Ropa,47.85,84
19,Falda gris sin mangas,Ropa,108.61,99
20,Chaqueta verde manga larga,Ropa,15.88,93
21,Vestido rojo manga corta,Ropa,93.95,48
22,Top beige oversize,Ropa,30.31,8
23,Sudadera negro oversize,Ropa,48.31,9
24,Vestido azul manga larga,Ropa,65.24,76
25,Sudadera verde oversize,Ropa,112.44,97
26,Jersey blanco entallado,Ropa,114.88,88
27,Camiseta amarillo manga larga,Ropa,91.3,36
28,Camiseta beige entallado,Ropa,43.33,49
29,Vestido blanco entallado,Ropa,55.28,32
30,Falda azul oversize,Ropa,28.96,8
31,Sudadera blanco oversize,Ropa,101.26,83
32,Camisa azul sin mangas,Ropa,34.12,19
33,Camiseta negro manga larga,Ropa,40.26,27
34,Sudadera gris oversize,Ropa,22.51,95
35,Camisa rojo oversize,Ropa,44.7,66
36,Falda azul entallado,Ropa,110.96,12
37,Sudadera gris entallado,Ropa,78.65,70
38,Camisa azul manga larga,Ropa,45.07,42
39,Falda verde entallado,Ropa,46.65,41
40,Abrigo amarillo entallado,Ropa,70.59,38
41,Jersey negro manga corta,Ropa,101.89,76
42,Vestido negro sin mangas,Ropa,78.81,74
43,Falda rojo oversize,Ropa,111.09,66
