venta_id,cliente_id,fecha_venta,total_eur,metodo_pago,tienda
1,97,2020-11-14,152.51,Transferencia,Tienda2
2,652,2024-02-22,252.72,Efectivo,Tienda2
3,387,2023-04-06,289.42,Tarjeta Crédito,Tienda5
4,297,2019-05-27,298.42,Tarjeta Débito,Tienda5
5,391,2023-04-01,201.19,Tarjeta Débito,Tienda4
6,555,2021-09-01,176.38,Tarjeta Débito,Tienda3
7,43,2021-07-02,83.1,Transferencia,Tienda5
8,518,2021-10-06,266.01,Tarjeta Crédito,Tienda2
9,462,2023-10-01,278.59,Tarjeta Débito,Tienda2
10,356,2022-11-08,49.79,Transferencia,Tienda2
11,663,2023-12-18,172.83,Efectivo,Tienda5
12,323,2019-12-08,163.63,Transferencia,Tienda1
13,464,2020-07-05,20.57,Tarjeta Crédito,Tienda5
14,683,2020-03-17,152.15,Tarjeta Crédito,Tienda1
15,474,2019-11-25,54.22,Tarjeta Débito,Tienda1
16,404,2022-10-16,51.98,Efectivo,Tienda3
17,484,2022-12-25,207.16,Tarjeta Crédito,Tienda2
18,635,2023-09-11,245.52,Transferencia,Tienda4
19,372,2022-12-01,108.97,Efectivo,Tienda4
20,223,2019-05-13,256.16,Tarjeta Débito,Tienda2
21,339,2019-04-27,51.68,Tarjeta Crédito,Tienda4
22,129,2023-10-12,43.1,Efectivo,Tienda5
23,277,2023-03-09,298.98,Efectivo,Tienda5
24,60,2019-05-15,113.47,Tarjeta Débito,Tienda5
25,539,2021-09-24,117.74,Efectivo,Tienda2
26,170,2021-09-21,185.86,Tarjeta Crédito,Tienda5
27,485,2022-08-03,33.8,Transferencia,Tienda2
28,569,2023-11-26,270.62,Tarjeta Crédito,Tienda2
29,452,2022-09-04,161.47,Efectivo,Tienda3
30,191,2019-06-29,17.85,Tarjeta Crédito,Tienda5
31,100,2023-10-22,161.89,Tarjeta Débito,Tienda2
32,3,2022-07-08,233.94,Tarjeta Crédito,Tienda3
33,57,2022-08-22,78.83,Tarjeta Débito,Tienda5
34,410,2022-08-02,115.57,Tarjeta Crédito,Tienda3
35,507,2020-03-24,202.23,Tarjeta Débito,Tienda1
36,674,2023-08-02,105.89,Transferencia,Tienda3
37,540,2020-01-07,52.15,Tarjeta Crédito,Tienda5
38,199,2022-08-13,163.18,Tarjeta Crédito,Tienda5
39,394,2021-10-24,271.09,Tarjeta Crédito,Tienda2
40,317,2019-08-24,25.51,Efectivo,Tienda5
41,78,2019-08-19,268.2,Efectivo,Tienda4
42,506,2022-04-19,279.81,Efectivo,Tienda3
43,537,2022-10-18,59.32,Tarjeta Crédito,Tienda3
44,184,2023-02-26,87.45,Transferencia,Tienda2
45,164,2021-06-25,122.49,Tarjeta Crédito,Tienda2
46,324,2023-09-13,187.14,Tarjeta Crédito,Tienda1
47,42,2019-03-10,267.85,Tarjeta Débito,Tienda5
48,63,2019-06-16,99.11,Transferencia,Tienda4
49,338,2023-08-22,232.86,Tarjeta Débito,Tienda5
50,351,2019-05-11,93.91,Efectivo,Tienda2
51,397,2020-10-07,243.24,Tarjeta Crédito,Tienda1
52,538,2023-04-19,131.04,Tarjeta Débito,Tienda1
53,16,2020-08-23,253.7,Efectivo,Tienda2
54,349,2023-02-09,254.56,Transferencia,Tienda2
55,93,2019-08-04,200.37,Tarjeta Crédito,Tienda3
56,479,2022-11-25,184.86,Tarjeta Débito,Tienda5
57,66,2023-12-18,196.34,Tarjeta Crédito,Tienda3
58,464,2023-01-06,112.51,Tarjeta Crédito,Tienda2
59,325,2020-03-31,70.26,Tarjeta Débito,Tienda1
60,564,2019-03-09,52.04,Tarjeta Débito,Tienda2
61,293,2022-03-12,238.45,Transferencia,Tienda4
62,565,2019-10-20,129.65,Tarjeta Crédito,Tienda4
63,248,2019-01-01,287.79,Tarjeta Crédito,Tienda1
64,245,2021-03-06,240.61,Tarjeta Crédito,Tienda5
